gene	HM_MG10	HM_MG11	HM_MG12	HM_MG13	HM_MG14	HM_MG15	HM_MG16	HM_MG17	HM_MG18	HM_MG19	HM_MG20	HM_MG21	HM_MG22	HM_MG23	HM_MG24	HM_MG3	HM_MG4	HM_MG5	HM_MG6	HM_MG7	HM_MG8	HM_MG9
HM_MG16_456915	0.0	0.00235263245561	0.00106205337116	0.0	0.0	0.0	0.00308346949891	0.00110544621964	0.000476910257555	0.0	0.0	0.0026026248724	0.000886414178088	0.0	0.0	0.00103345125318	0.0	0.0	0.00426982565448	0.000780329054808	0.000597090862401	0.0
HM_MG16_47447	0.0	0.000311950718918	0.000166903358241	0.0	0.0	0.0	0.000817712773515	0.000122148614302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000419381137163	0.000216792197202	0.0	0.0
HM_MG16_501705	0.0	0.00307651046122	0.000726190745918	0.000154322788772	0.0	0.0	0.00379502344416	0.00153061641401	0.0	0.0	0.0	0.00137281111912	0.000363656735046	0.0	0.0	0.000181705982732	0.0	0.0	0.00233563334609	0.000960405978378	0.00014697610646	0.0
HM_MG16_550453	0.0	0.00181606829789	0.00105998250869	0.000140785545765	0.0	0.0	0.00199072594013	0.000930900822982	0.000133869686544	0.0	0.0	0.000208731609117	8.29394345103e-05	0.0	0.0	0.0	0.0	0.0	0.000799033539196	0.000312914555763	0.0	0.0
HM_MG3_08487	0.0	0.000635846228117	0.00306177242264	0.00574748423131	0.0	0.0	0.000533354646206	0.00370474527886	0.0053620212481	0.0	0.0	0.00337637686229	0.00830514772624	0.000248258691387	0.0	0.00766110515843	0.0	0.0	0.000205156583046	9.64113035271e-05	0.006609942152	0.0
HM_MG3_168587	0.0	0.0	0.0	0.000299061100679	4.41735030244e-05	0.0	0.0	0.0	9.4789842482e-05	0.0	0.0	0.0	0.00029363710629	0.00039937391151	0.0	0.00187800397979	0.0	0.0	0.0	0.0	0.00237353345118	0.00047786097096
HM_MG3_168695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000171159696656	0.0	0.00305174300276	0.0	0.0	0.0	0.0	0.00175641016822	4.7786097096e-05
HM_MG3_257906	0.0	0.00017644750475	0.000566428464616	0.00601858539169	0.0	0.0	0.0	0.000386904982994	0.00352914918311	0.0	0.0	0.00394112775997	0.00632309725878	0.0	0.0	0.00271650197572	0.0	0.0	0.000853965130896	0.000178361018542	0.00248388716545	0.0
HM_MG3_275591	0.0	0.0	0.0	2.06292551399e-05	0.0	0.0	0.0	0.0	1.96158767876e-05	0.0	0.0	9.17559589672e-05	0.0	7.08397632327e-05	0.0	0.00320625768888	3.73068860353e-05	0.0	0.0	0.0	0.0026327144996	1.9777824965e-05
HM_MG3_275726	0.0	0.0	0.0	0.00030473783042	0.000180049285783	0.0	0.00012489965189	0.0	0.000289768083894	7.25865052796e-05	0.0	0.0	0.000119684635109	0.000813912281475	0.0	0.00430574689185	0.000275550253712	0.0	0.0	0.0	0.00551438404377	0.000486934002982
HM_MG3_420972	0.0	0.0	0.0	0.000617290192113	0.0	0.0	0.0	0.0	0.000167705035494	0.0	0.0	6.53719580534e-05	0.000103901924299	5.04701175018e-05	0.0	0.00306305310362	0.0	0.0	0.0	0.0	0.0015957403879	0.0
HM_MG3_525628	0.0	0.0	0.0	3.74989166546e-05	6.6466678757e-05	0.0	0.0	0.0	3.56568438258e-05	0.000133979707343	0.0	0.0	0.0	0.000558001366813	0.0	0.00198687858224	0.00301774787267	0.0	0.0	0.0	0.00242853834637	0.00427819656467
HM_MG3_549570	0.0	0.0	0.000671321953408	0.00276409552699	0.0	0.0	0.000109634010609	0.000393046837277	0.00203482060897	0.0	0.0	0.000528786505143	0.000630338340746	0.00010206179317	0.0	0.00724402038653	0.0	0.0	0.0	0.0007134436461	0.00764274561325	0.0
HM_MG3_637829	0.0	0.0	0.000271668154485	0.0010391809909	0.0	0.0	0.0	0.000318113561957	0.000439170953143	0.0	0.0	0.000427974843486	0.000748244190796	0.0	0.0	0.000951667035166	0.0	0.0	0.0	0.000205307812002	0.00142957928936	0.0
